x, y, z
1335013.1, 5018656.5600000005, 752.29
1335012.73, 5018657.01, 752.3000000000001
1335012.36, 5018657.46, 752.3000000000001
1335012.0, 5018657.91, 752.28
1335010.16, 5018660.17, 752.09
1335009.54, 5018659.95, 751.88
1335009.91, 5018659.49, 752.0600000000001
1335011.0, 5018658.14, 752.03
1335011.3800000001, 5018657.69, 751.96
1335011.75, 5018657.22, 752.0
1335012.12, 5018656.7700000005, 752.04
1335011.42, 5018656.49, 751.72
1335011.05, 5018656.94, 751.7
1335010.68, 5018657.39, 751.69
1335010.32, 5018657.84, 751.67
1335009.95, 5018658.29, 751.6800000000001
1335009.59, 5018658.73, 751.88
1335009.22, 5018659.19, 751.82
1335008.6, 5018658.99, 751.67
1335008.96, 5018658.55, 751.65
1335009.33, 5018658.09, 751.54
1335009.7, 5018657.63, 751.52
1335010.07, 5018657.18, 751.5600000000001
1335010.44, 5018656.73, 751.5500000000001
1335009.34, 5018656.71, 751.25
1335008.97, 5018657.16, 751.3000000000001
1335008.6, 5018657.61, 751.3000000000001
1335008.24, 5018658.0600000005, 751.38
1335007.52, 5018657.97, 751.19
1335007.8800000001, 5018657.5200000005, 751.15
1335008.25, 5018657.08, 751.0
1335008.61, 5018656.63, 750.8000000000001
1335007.67, 5018656.600000001, 750.47
1335007.31, 5018657.05, 750.6
1335006.91, 5018656.62, 750.13
1335018.6300000001, 5018658.76, 755.46
1335018.28, 5018659.2, 755.62
1335017.69, 5018658.93, 755.46
1335014.75, 5018661.17, 754.02
1335015.56, 5018659.21, 754.74
1335014.59, 5018659.18, 753.85
1335010.55, 5018659.67, 753.33
1335010.6400000001, 5018658.58, 752.32
